Timestamp start: 1715958843916
Timestamp end: 1715959644407
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      380.6   255.1   148.8   199.9   213.1   337.2   414.7   462.6   500.0   544.9   599.0   670.7   830.3  2905.4  8579.5  53827.3    53818
read      376.3   250.8   148.8   195.9   208.8   327.2   426.2   481.7   517.2   552.5   591.4   642.2   774.3  2585.0  9061.2  30409.0    30297
read      378.2   282.0   148.8   195.6   208.5   326.9   423.1   479.1   515.5   553.6   594.2   648.4   792.6  3248.6 10455.3  31514.7    31569
read      377.6   226.8   148.8   196.2   209.5   334.9   417.5   470.9   510.1   553.2   600.1   663.1   800.1  1691.6  8822.7  38880.5    38927
read      433.7   788.0   148.8   204.4   220.3   375.7   442.7   481.6   509.3   542.6   582.3   640.1  1241.7 10709.6 31857.2  10633.5    10652
read      458.8   390.9   148.8   219.4   239.2   385.6   465.0   515.1   555.0   608.0   684.2   850.5  1802.0  3024.1 12454.5  97958.2    98119
read      383.7   309.5   148.8   201.5   214.5   337.1   412.1   461.7   500.5   545.3   598.6   667.1   828.6  3400.1  9983.0  48349.4    48176
read      374.4   278.2   148.8   199.4   212.5   326.7   411.6   466.8   505.6   545.7   590.1   647.6   765.9  1943.8  9479.4  34961.3    34929
read      373.6   369.4   148.8   203.5   216.6   332.7   403.8   448.2   481.8   523.5   577.1   650.4   792.9  2680.4  6819.0  69719.3    69735
read      465.9   416.1   160.7   205.8   220.9   399.7   506.5   572.1   628.1   696.6   775.6   877.1  1171.6  4848.0 12441.1  20764.9    20753
read      443.0   433.4   148.8   209.0   225.1   359.6   439.7   488.3   525.3   571.8   638.3   853.2  1850.0  3178.2 13619.4  84635.4    84642
read      374.0   238.0   148.8   199.5   212.7   330.6   407.9   459.0   498.3   543.1   592.6   653.2   775.3  1725.8  8655.7  42374.5    42333
read      374.3   236.8   148.8   203.0   215.9   335.5   406.0   450.4   484.8   527.3   579.9   651.5   795.2  2335.8  7413.9  61512.8    61587
read      379.2   312.9   148.8   204.6   218.8   334.4   403.6   446.4   479.4   519.9   572.4   650.3   866.9  3403.2 10242.4  77956.9    77998
read      390.8   282.4   148.8   213.8   230.8   355.2   421.4   462.3   493.7   531.6   581.1   658.9   843.6  2616.9 11031.8  97646.7    97625
read      461.1   344.4   148.8   204.9   219.3   390.7   505.9   572.3   632.1   715.1   808.9   927.6  1166.1  3200.2 11831.5  23787.5    23781
read      395.4   347.2   148.8   204.1   217.8   339.1   412.7   459.7   496.4   541.2   599.0   687.1  1380.9  3409.1 12549.7  66680.6    66723
read      379.9   295.9   148.8   201.8   214.8   330.5   422.5   476.2   512.3   548.7   589.4   641.4   782.0  3280.4 10034.0  30902.2    31016
read      386.2   245.5   148.8   203.5   217.0   343.2   422.4   471.8   511.3   556.8   610.4   678.5   824.7  1954.2  9934.4  47511.8    47394
read      387.5   224.0   148.8   213.3   229.8   351.3   418.5   459.7   490.9   528.9   579.3   657.6   856.4  2099.1  7962.1  95202.0    95335
read      416.3  1009.6   160.7   216.2   239.3   335.7   375.3   397.5   414.0   433.3   461.9   508.3  1896.5 13546.4 32139.1   5268.7     5252
read      419.3   598.8   148.8   206.1   220.9   350.9   430.0   479.0   517.2   564.2   626.8   730.7  1690.6  4298.4 15674.2  65883.2    65908
read      474.2   630.6   160.7   207.1   222.8   412.3   505.9   569.7   619.2   673.4   735.5   823.0  1093.4  7580.4 31390.2  16867.2    16889
read      406.4   394.4   148.8   203.0   216.6   344.1   426.6   480.3   521.4   567.3   620.7   697.8  1382.1  5126.6 12454.5  42960.5    42912
read      387.2   254.8   148.8   216.4   233.8   357.1   420.6   458.8   487.9   523.5   570.7   644.1   813.0  1195.7 11443.9  99914.3    99898
