Timestamp start: 1715691894231
Timestamp end: 1715692694752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      401.0   269.1   148.8   206.7   221.7   357.9   442.2   495.3   534.0   575.9   623.2   686.0   886.7  2874.9  8900.4  39182.6    38927
read      434.3   574.5   160.7   223.9   243.1   392.3   459.4   495.6   521.1   549.8   587.5   644.4   991.3  4740.6 28799.9  10716.2    10652
read      533.4   449.7   160.7   228.0   254.0   420.0   515.0   581.9   633.2   694.1   791.8  1562.5  1995.2  3082.4 12386.7  98166.8    98119
read      388.7   240.7   160.7   207.2   221.9   353.4   430.0   474.8   509.9   550.7   599.8   665.6   809.8  1945.8  8735.5  48189.4    48176
read      395.0   338.8   160.7   206.4   221.2   349.2   433.6   486.0   522.8   561.9   604.6   662.4   876.8  3400.8 13051.7  34947.8    34929
read      375.7   233.0   148.8   206.5   220.7   339.1   412.9   456.0   487.9   526.3   575.5   642.7   798.6  1746.6  8392.8  69768.0    69735
read      489.6   704.0   160.7   212.5   229.5   420.2   519.3   573.9   617.4   676.4   759.9   882.1  1254.3  9764.4 31437.7  20746.2    20753
read      442.2   355.9   148.8   210.2   226.3   359.0   439.3   489.1   527.1   574.0   639.7   847.9  1854.6  3140.4  8928.5  84497.0    84642
read      398.2   325.9   148.8   207.1   222.1   354.5   434.8   483.6   521.1   563.8   611.8   676.4   879.9  3944.5  9212.1  42401.8    42333
read      383.5   240.6   160.7   207.0   221.6   344.5   418.6   462.0   495.7   536.3   586.3   655.7   864.0  2466.4  6009.8  61543.6    61587
read      380.7   238.0   148.8   208.3   223.0   339.6   414.0   456.6   488.3   526.6   575.7   648.8   857.3  2497.8  7761.4  78291.4    77998
read      373.4   258.7   160.7   209.6   225.0   337.9   401.7   440.4   468.7   503.6   548.0   618.9   802.6  2129.5  9311.7  97649.2    97625
read      395.4   426.5   160.7   207.5   222.5   349.1   443.8   488.9   517.1   545.8   579.1   624.4   752.5  5898.2 17585.7  23980.2    23781
read      410.5   367.9   160.7   208.5   223.6   352.7   432.0   477.6   512.4   554.0   609.7   701.4  1491.8  4058.1 10211.8  66760.0    66723
read      404.6   282.9   148.8   212.4   228.2   367.5   456.8   507.3   540.3   575.3   615.3   671.4   815.9  1875.9  9140.1  31015.0    31016
read      406.5   226.5   160.7   214.2   229.8   372.7   456.2   503.5   538.3   578.2   625.4   689.3   845.6  1713.9  8504.7  47402.4    47394
read      383.0   215.3   160.7   214.3   230.3   349.7   416.6   457.1   487.9   525.3   574.1   646.1   817.5  1635.8  7188.8  95164.6    95335
read      410.5   588.1   173.5   245.0   265.8   364.1   405.5   428.5   445.0   464.8   492.2   535.0  1295.6  8356.0 25414.9   5267.0     5252
read      454.8   446.4   160.7   216.1   231.8   376.3   462.8   512.9   550.9   597.4   663.4   818.3  1880.3  3187.2 13472.7  65844.2    65908
read      468.2   404.1   160.7   225.7   244.6   427.6   514.2   563.9   603.5   656.7   728.9   829.3  1017.2  4240.9 15739.2  16881.2    16889
read      431.0   311.6   160.7   216.0   231.7   374.5   460.7   513.2   552.9   596.6   653.3   763.4  1432.9  2272.0 11988.0  42850.2    42912
read      398.0   195.9   148.8   221.9   240.3   367.1   433.5   474.0   505.3   543.4   592.9   671.7   827.7  1128.1  7815.5  99618.4    99898
read      400.1   276.9   160.7   212.1   227.4   361.6   453.6   502.8   534.5   567.6   604.3   654.8   801.7  1979.2 11705.0  26573.6    26385
read      399.6   289.8   160.7   214.1   229.5   363.3   455.4   499.6   528.0   557.6   590.9   636.2   758.1  3832.2 10003.2  22657.8    22616
read      404.5   306.2   148.8   213.3   228.5   366.6   446.4   493.3   529.1   570.8   620.2   686.8   866.2  2122.1  8774.3  50490.2    50605
read      383.8   195.2   148.8   213.1   228.8   349.6   418.5   460.1   491.9   530.0   579.2   653.8   823.3  1670.9  7698.6  90304.6    90283
read      402.4   296.3   160.7   210.7   226.2   361.9   456.2   505.7   537.6   571.1   608.5   659.2   799.4  2361.4 12540.4  26277.8    26273
read      405.1   220.4   160.7   211.7   227.1   368.6   451.8   499.6   535.6   577.3   627.4   693.8   864.2  1842.1  7878.6  48645.0    48521
read      406.0   239.5   160.7   211.1   227.0   367.4   452.0   502.8   539.6   578.5   622.3   681.4   848.4  3123.5  8038.4  34015.6    34058
read      394.4   248.6   148.8   211.6   226.9   353.5   432.4   478.0   511.8   551.6   604.2   685.0   875.2  2089.9  7981.6  75405.2    75648
read      518.4   669.6   160.7   218.8   236.0   435.1   541.9   609.0   664.1   734.0   819.9   948.2  1752.7  7880.2 31628.8  19433.2    19482
read      507.9   650.0   160.7   221.9   242.4   442.0   542.7   599.9   639.2   686.3   749.8   848.9  1388.0  7911.1 32105.4  15043.0    15054
read      529.9   587.6   160.7   216.4   234.4   396.1   494.8   557.9   609.9   680.6   841.6  1639.5  2109.3  3901.6 19890.2  75584.2    75754
read      406.2   695.2   173.5   237.0   256.5   351.9   392.4   415.5   432.2   453.3   478.9   526.0  1399.9  7525.1 31236.1   5208.0     5187
read      511.7   615.1   160.7   220.0   238.5   451.9   561.4   626.2   672.5   726.3   793.2   890.0  1240.2  5873.7 30824.1  17645.6    17656
read      430.7   323.8   160.7   218.0   235.9   371.5   447.8   495.8   533.0   579.2   640.3   749.4  1731.4  2934.5  8315.6  96040.0    96343
